Orden de Venta,Creacion Orden de Venta,Codigo Cliente,Articulo,Cantidad,Unidad de venta,Segmento Cliente
ABC063830,2021-01-04,F26E901B,IVP11576,60,L,Alimentos y farmaceutica
ABC063832,2021-01-04,12558C43,IVP07229,540,KG,Aceros
ABC063833,2021-01-04,A760F354,IVP04039,3,PZA,Genericos
ABC063834,2021-01-04,A760F354,IVP04039,4,PZA,Genericos
ABC063835,2021-01-04,A760F354,IVP01010,1,PZA,Genericos
ABC063836,2021-01-04,A760F354,IVP04039,4,PZA,Genericos
ABC063837,2021-01-04,A760F354,IVP04039,9,PZA,Genericos
ABC063838,2021-01-04,A760F354,IVP04039,9,PZA,Genericos
ABC063839,2021-01-04,B9B74BCE,IVP11162,85,L,Distribuidor
ABC063840,2021-01-04,759A7216,IVP11252,57,L,Alimentos y farmaceutica
ABC063841,2021-01-04,F2852A0D,IVP11144,150,L,Aceros
ABC063841,2021-01-04,F2852A0D,IVP11144,150,L,Aceros
ABC063841,2021-01-04,F2852A0D,IVP08003,150,KG,Aceros
ABC063841,2021-01-04,F2852A0D,IVP08003,150,KG,Aceros
ABC063841,2021-01-04,F2852A0D,IVP07144,540,KG,Aceros
ABC063841,2021-01-04,F2852A0D,IVP07144,540,KG,Aceros
ABC063842,2021-01-04,9F546608,IVP07131,27,KG,Quimica y Petroquimica
ABC063843,2021-01-04,DD2BF499,IVP08003,4,KG,Metal Mecanica
ABC063844,2021-01-04,A760F354,IVP04039,3,PZA,Genericos
ABC063845,2021-01-04,EDD2371F,IVP09009,2160,KG,Metal Mecanica
ABC063848,2021-01-04,D3F3041A,IVP07105,81,KG,Minas
ABC063847,2021-01-04,B616E895,IVP04039,60,PZA,
ABC063869,2021-01-05,89362A29,IVP04040,67,PZA,Genericos
ABC063869,2021-01-05,89362A29,IVP04040,67,PZA,Genericos
ABC063869,2021-01-05,89362A29,IVP04040,67,PZA,Genericos
ABC063868,2021-01-05,D0B40618,IVP10009,6,KG,Metal Mecanica
ABC063867,2021-01-05,E9306274,IVP15088,300,KG,Distribuidor
ABC063866,2021-01-05,A760F354,IVP01010,1,PZA,Genericos
ABC063865,2021-01-05,D0CB9F8E,IVP11057,300,L,Alimentos y farmaceutica
ABC063865,2021-01-05,D0CB9F8E,IVP11057,300,L,Alimentos y farmaceutica
ABC063865,2021-01-05,D0CB9F8E,IVP11057,300,L,Alimentos y farmaceutica
