Week,Articulo,Unidad de venta,Segmento Cliente,Creacion Orden de Venta,Cantidad,Week Start,Week End
2021-Week01,IVP01009,PZA,Genericos,2021-01-05,3,2021-01-04,2021-01-10
2021-Week01,IVP01009,PZA,Genericos,2021-01-06,13,2021-01-04,2021-01-10
2021-Week01,IVP01009,PZA,Genericos,2021-01-07,1,2021-01-04,2021-01-10
2021-Week01,IVP01010,PZA,Genericos,2021-01-04,1,2021-01-04,2021-01-10
2021-Week01,IVP01010,PZA,Genericos,2021-01-05,4,2021-01-04,2021-01-10
2021-Week01,IVP01011,L,Genericos,2021-01-05,15,2021-01-04,2021-01-10
2021-Week01,IVP04009,PZA,Alimentos y farmaceutica,2021-01-05,18,2021-01-04,2021-01-10
2021-Week01,IVP04009,PZA,Alimentos y farmaceutica,2021-01-08,288,2021-01-04,2021-01-10
2021-Week01,IVP04014,PZA,Alimentos y farmaceutica,2021-01-06,36,2021-01-04,2021-01-10
2021-Week01,IVP04014,PZA,Distribuidor,2021-01-08,36,2021-01-04,2021-01-10
2021-Week01,IVP04020,PZA,Distribuidor,2021-01-05,72,2021-01-04,2021-01-10
2021-Week01,IVP04039,PZA,Genericos,2021-01-04,32,2021-01-04,2021-01-10
2021-Week01,IVP04039,PZA,Genericos,2021-01-07,9,2021-01-04,2021-01-10
2021-Week01,IVP04040,PZA,Genericos,2021-01-05,316,2021-01-04,2021-01-10
2021-Week01,IVP04040,PZA,Genericos,2021-01-08,1,2021-01-04,2021-01-10
2021-Week01,IVP07042,KG,Subsidiarias,2021-01-08,162,2021-01-04,2021-01-10
2021-Week01,IVP07048,KG,Alimentos y farmaceutica,2021-01-05,8,2021-01-04,2021-01-10
2021-Week01,IVP07064,KG,Aceros,2021-01-05,270,2021-01-04,2021-01-10
2021-Week01,IVP07076,KG,Alimentos y farmaceutica,2021-01-06,27,2021-01-04,2021-01-10
2021-Week01,IVP07077,PZA,Distribuidor,2021-01-07,18,2021-01-04,2021-01-10
2021-Week01,IVP07083,KG,Alimentos y farmaceutica,2021-01-05,9,2021-01-04,2021-01-10
2021-Week01,IVP07085,KG,Intercompanias,2021-01-07,270,2021-01-04,2021-01-10
2021-Week01,IVP07105,KG,Minas,2021-01-04,81,2021-01-04,2021-01-10
2021-Week01,IVP07114,KG,Subsidiarias,2021-01-08,540,2021-01-04,2021-01-10
