Week,Articulo,Unidad de venta,Cantidad,Week Start,Week End,Week Number
2021-Week01,IVP01009,PZA,32,2021-01-04,2021-01-10,1
2021-Week01,IVP01010,PZA,35,2021-01-04,2021-01-10,1
2021-Week01,IVP01011,KG,15,2021-01-04,2021-01-10,1
2021-Week01,IVP04009,PZA,306,2021-01-04,2021-01-10,1
2021-Week01,IVP04014,PZA,72,2021-01-04,2021-01-10,1
2021-Week01,IVP04020,PZA,72,2021-01-04,2021-01-10,1
2021-Week01,IVP04039,PZA,101,2021-01-04,2021-01-10,1
2021-Week01,IVP04040,PZA,321,2021-01-04,2021-01-10,1
2021-Week01,IVP07042,KG,162,2021-01-04,2021-01-10,1
2021-Week01,IVP07048,KG,8,2021-01-04,2021-01-10,1
2021-Week01,IVP07064,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP07076,KG,27,2021-01-04,2021-01-10,1
2021-Week01,IVP07077,PZA,18,2021-01-04,2021-01-10,1
2021-Week01,IVP07083,KG,9,2021-01-04,2021-01-10,1
2021-Week01,IVP07085,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP07105,KG,81,2021-01-04,2021-01-10,1
2021-Week01,IVP07114,KG,540,2021-01-04,2021-01-10,1
2021-Week01,IVP07123,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP07130,KG,3300,2021-01-04,2021-01-10,1
2021-Week01,IVP07131,KG,4827,2021-01-04,2021-01-10,1
2021-Week01,IVP07144,KG,1080,2021-01-04,2021-01-10,1
2021-Week01,IVP07145,KG,351,2021-01-04,2021-01-10,1
2021-Week01,IVP07157,KG,540,2021-01-04,2021-01-10,1
2021-Week01,IVP07165,KG,1080,2021-01-04,2021-01-10,1
2021-Week01,IVP07165,PZA,162,2021-01-04,2021-01-10,1
2021-Week01,IVP07169,KG,108,2021-01-04,2021-01-10,1
2021-Week01,IVP07170,KG,1350,2021-01-04,2021-01-10,1
2021-Week01,IVP07197,KG,135,2021-01-04,2021-01-10,1
2021-Week01,IVP07201,KG,108,2021-01-04,2021-01-10,1
2021-Week01,IVP07214,KG,3,2021-01-04,2021-01-10,1
2021-Week01,IVP07218,KG,1350,2021-01-04,2021-01-10,1
2021-Week01,IVP07219,KG,1080,2021-01-04,2021-01-10,1
2021-Week01,IVP07229,KG,540,2021-01-04,2021-01-10,1
2021-Week01,IVP07243,KG,12960,2021-01-04,2021-01-10,1
2021-Week01,IVP07244,KG,540,2021-01-04,2021-01-10,1
2021-Week01,IVP07261,KG,4320,2021-01-04,2021-01-10,1
2021-Week01,IVP07267,KG,54,2021-01-04,2021-01-10,1
2021-Week01,IVP07269,KG,2160,2021-01-04,2021-01-10,1
2021-Week01,IVP07278,KG,1107,2021-01-04,2021-01-10,1
2021-Week01,IVP07304,KG,4860,2021-01-04,2021-01-10,1
2021-Week01,IVP07306,KG,60,2021-01-04,2021-01-10,1
2021-Week01,IVP07309,KG,6,2021-01-04,2021-01-10,1
2021-Week01,IVP07314,KG,108,2021-01-04,2021-01-10,1
2021-Week01,IVP07318,KG,1080,2021-01-04,2021-01-10,1
2021-Week01,IVP07324,KG,1620,2021-01-04,2021-01-10,1
2021-Week01,IVP07331,KG,675,2021-01-04,2021-01-10,1
2021-Week01,IVP07349,KG,81,2021-01-04,2021-01-10,1
2021-Week01,IVP07370,KG,1350,2021-01-04,2021-01-10,1
2021-Week01,IVP07372,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP07384,KG,7560,2021-01-04,2021-01-10,1
2021-Week01,IVP07387,PZA,36,2021-01-04,2021-01-10,1
2021-Week01,IVP07397,KG,1080,2021-01-04,2021-01-10,1
2021-Week01,IVP07405,KG,81,2021-01-04,2021-01-10,1
2021-Week01,IVP07412,KG,810,2021-01-04,2021-01-10,1
2021-Week01,IVP07428,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP07436,KG,6,2021-01-04,2021-01-10,1
2021-Week01,IVP07452,KG,9720,2021-01-04,2021-01-10,1
2021-Week01,IVP07463,KG,108,2021-01-04,2021-01-10,1
2021-Week01,IVP07480,KG,2970,2021-01-04,2021-01-10,1
2021-Week01,IVP08003,KG,304,2021-01-04,2021-01-10,1
2021-Week01,IVP08007,KG,90,2021-01-04,2021-01-10,1
2021-Week01,IVP08031,KG,150,2021-01-04,2021-01-10,1
2021-Week01,IVP08038,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP08042,KG,30,2021-01-04,2021-01-10,1
2021-Week01,IVP08056,KG,150,2021-01-04,2021-01-10,1
2021-Week01,IVP09009,KG,2160,2021-01-04,2021-01-10,1
2021-Week01,IVP09022,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP09028,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP10009,KG,6,2021-01-04,2021-01-10,1
2021-Week01,IVP10025,KG,270,2021-01-04,2021-01-10,1
2021-Week01,IVP11025,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP11026,KG,1585,2021-01-04,2021-01-10,1
2021-Week01,IVP11027,KG,1500,2021-01-04,2021-01-10,1
2021-Week01,IVP11031,KG,57,2021-01-04,2021-01-10,1
2021-Week01,IVP11057,KG,1200,2021-01-04,2021-01-10,1
2021-Week01,IVP11060,KG,900,2021-01-04,2021-01-10,1
2021-Week01,IVP11081,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP11082,KG,57,2021-01-04,2021-01-10,1
2021-Week01,IVP11087,KG,342,2021-01-04,2021-01-10,1
2021-Week01,IVP11090,KG,470,2021-01-04,2021-01-10,1
2021-Week01,IVP11134,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP11144,KG,528,2021-01-04,2021-01-10,1
2021-Week01,IVP11158,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP11159,KG,1528,2021-01-04,2021-01-10,1
2021-Week01,IVP11162,KG,4642,2021-01-04,2021-01-10,1
2021-Week01,IVP11169,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP11252,KG,3397,2021-01-04,2021-01-10,1
2021-Week01,IVP11253,KG,85,2021-01-04,2021-01-10,1
2021-Week01,IVP11262,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP11280,KG,28,2021-01-04,2021-01-10,1
2021-Week01,IVP11282,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP11299,KG,300,2021-01-04,2021-01-10,1
2021-Week01,IVP11304,KG,600,2021-01-04,2021-01-10,1
2021-Week01,IVP11347,KG,170,2021-01-04,2021-01-10,1
2021-Week01,IVP11365,KG,600,2021-01-04,2021-01-10,1
2021-Week01,IVP11368,KG,1500,2021-01-04,2021-01-10,1
2021-Week01,IVP11419T,KG,1500,2021-01-04,2021-01-10,1
2021-Week01,IVP11431,KG,1500,2021-01-04,2021-01-10,1
2021-Week01,IVP11433,KG,900,2021-01-04,2021-01-10,1
2021-Week01,IVP11479,KG,928,2021-01-04,2021-01-10,1
2021-Week01,IVP11491,KG,85,2021-01-04,2021-01-10,1
2021-Week01,IVP11492,KG,312,2021-01-04,2021-01-10,1
2021-Week01,IVP11515,KG,600,2021-01-04,2021-01-10,1
2021-Week01,IVP11551,KG,1200,2021-01-04,2021-01-10,1
2021-Week01,IVP11576,KG,60,2021-01-04,2021-01-10,1
